id,titulo_original,puesto,empresa,portal,fecha_publicacion,salario_min,salario_max,experiencia_anios,categoria_rol,descripcion,es_simulado,habilidades
1,Técnico en refrigeración,Técnico en refrigeración,Empresa Confidencial,Computrabajo,2026-06-15,,,2,Backend,CAPITAL HUMANO ESPECIALIZADO,0,"Excel,SQL"
2,Técnico en línea blanca,Técnico en línea blanca,Empresa Confidencial,Computrabajo,2026-06-15,,,1,Backend,CAPITAL HUMANO ESPECIALIZADO,0,"Excel,SQL"
3,Tecnico Motorizado Chofer Servicio de Baterias a Domicilio,Tecnico Motorizado Chofer Servicio de Baterias a Domicilio,Empresa Confidencial,Computrabajo,2026-06-15,,,3,Backend,Battery Giant Panamá,0,"Excel,SQL"
4,Soporte Técnico,Soporte Técnico IT,Empresa Confidencial,Computrabajo,2026-06-15,,,2,Soporte & IT,TX PANAMA,0,"Excel,SQL"
5,Técnico Sistema Especiales,Técnico Sistema Especiales,Empresa Confidencial,Computrabajo,2026-06-15,,,1,Soporte & IT,Agv consulting,0,"Excel,SQL"
6,Técnico en Panadería,Técnico en Panadería,Empresa Confidencial,Computrabajo,2026-06-15,,,3,Soporte & IT,PROWORK GROUP PANAMÁ,0,"Excel,SQL"
7,Agente de servicio técnico,Agente de servicio técnico,Empresa Confidencial,Computrabajo,2026-06-15,,,3,Soporte & IT,Importante empresa del sector,0,"Excel,SQL"
8,Técnico en línea blanca,Técnico en línea blanca,Empresa Confidencial,Computrabajo,2026-06-15,,,3,Backend,CAPITAL HUMANO ESPECIALIZADO,0,"Excel,SQL"
9,Técnico en refrigeración,Técnico en refrigeración,Empresa Confidencial,Computrabajo,2026-06-15,,,2,Backend,CAPITAL HUMANO ESPECIALIZADO,0,"Excel,SQL"
10,Técnico en Elevadores,Técnico en Elevadores,Empresa Confidencial,Computrabajo,2026-06-15,,,3,Soporte & IT,Importante empresa del sector,0,"Excel,SQL"
11,Lider Tecnico,Lider Tecnico,Empresa Confidencial,Computrabajo,2026-06-15,,,2,Backend,"Smart Business Solutions,S.A",0,"Excel,SQL"
12,Técnico Senior de Mantenimiento // Sistemas Hidraulico,Técnico Senior de Mantenimiento // Sistemas Hidraulico,Empresa Confidencial,Computrabajo,2026-06-15,,,1,Soporte & IT,"MTS ADMINISTRACIÓN TOTAL, S.A.",0,"Excel,SQL"
13,Coordinador de Servicio técnico,Coordinador de Servicio técnico,Empresa Confidencial,Computrabajo,2026-06-15,,,2,Soporte & IT,YCA Consultora,0,"Excel,SQL"
14,Asistente IT,Asistente IT,Empresa Confidencial,Computrabajo,2026-06-15,,,2,Backend,Pak-Al,0,"Excel,SQL"
15,Soporte Tecnico,Soporte Técnico IT,Empresa Confidencial,Computrabajo,2026-06-15,,,3,Soporte & IT,Componentes El Orbe,0,"Excel,SQL"
16,Visiting Analyst/Associate,Visiting Analyst/Associate,Acton Capital,Arbeitnow API,2026-06-15,,,2,Backend,"Acton Capital is a leading European growth-stage venture capital investor based in Munich. Since 1999, Acton has successfully invested in fast-growing, tech-enabled companies throughout Europe. Currently, Acton invests out of its sixth fund generation. As addition to our investment team in Munich we are looking for a Visiting Analyst/Associate. Aufgaben As a member of our investment team, you screen the market, source and analyze investment opportunities. You support the team in closing and managing deals as well as in the fund’s day to day business: Sourcing of investment opportunities throug",0,"Excel,SQL"
17,Werkstudent:in IT Support & Data Governance (m/w/d),Data Analyst / Scientist,Implify,Arbeitnow API,2026-06-15,,,3,Data & Analytics,"Wenn die Arbeit in einem Start-up für Dich spannend klingt, Du Praxiserfahrung in IT, Support und Datenprozessen sammeln und dabei von Anfang an ein wertvoller Teil des Teams sein willst, bist Du bei Implify genau richtig! 🚀 Wir unterstützen Unternehmen dabei, ihre Lagerprozesse zu automatisieren, um Zeit und Kosten zu sparen, Effizienz zu steigern und Fehler zu vermeiden. Unsere Soft- und Hardware-Lösungen ermöglichen es, Lagerhaltung einfach, transparent und zuverlässig zu gestalten - insbesondere im Gesundheitswesen und bei Unternehmen mit komplexen Lagerprozessen. Arbeite direkt mit unsere",0,"Excel,SQL"
